GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
A1BG,-0.567923169267707,0.091,0.31747444766793126
A1BG-AS1,-0.4067707082833133,0.114,0.342
A2M,-0.0184873949579831,0.945,0.9695599527466037
A2ML1,0.1386314525810324,0.296,0.5085578635014837
A3GALT2,0.1412244897959183,0.235,0.4580741895261845
A4GALT,-0.103001200480192,0.726,0.8262636866627838
AAAS,0.4320288115246097,0.089,0.3159257493188011
AACS,-0.2245858343337334,0.428,0.6115459281601316
AADACL3,0.1058823529411764,0.437,0.618526120416478
AADAT,-0.1326770708283313,0.569,0.7195580812166316
AAED1,-0.4010084033613445,0.139,0.3685527476255088
AAGAB,-0.093781512605042,0.663,0.7829490104245355
AAK1,0.6113325330132053,0.047,0.2595376192158248
AAMDC,-0.481968787515006,0.063,0.28358162971494383
AAMP,-0.2874909963985594,0.218,0.44311454947341045
AANAT,0.1076110444177671,0.406,0.5932328254977102
AAR2,0.1741656662665066,0.229,0.4524146341463415
AARD,0.5245138055222089,0.09,0.3168851351351351
AARS,0.0076350540216086,0.986,0.9924755649990342
AARS2,0.471500600240096,0.176,0.4054535809018567
AASDH,0.5709963985594237,0.108,0.33545877210411285
AASDHPPT,-0.0958943577430972,0.699,0.8079458040665435
AASS,-0.3797839135654262,0.306,0.5176041982254923
AATF,-0.4614165666266506,0.211,0.437475198938992
AATK,0.1345018007202881,0.467,0.6422636579572446
ABAT,0.2995918367346938,0.393,0.5845641294005709
ABCA1,-0.2379351740696278,0.243,0.4653134492895639
ABCA10,0.3508763505402161,0.066,0.28517910447761197
ABCA11P,0.3330132052821128,0.312,0.5228876500857633
ABCA2,-0.181656662665066,0.396,0.5860155244225672
ABCA3,-0.3703721488595438,0.144,0.3751294784202633
ABCA5,0.683937575030012,0.007,0.16505429864253396
ABCA6,0.6042256902761104,0.002,0.12213281250000001
ABCA7,0.3990876350540215,0.12,0.34901581395348835
ABCA8,-0.1090516206482593,0.715,0.819171491388787
ABCA9,0.5964465786314525,0.047,0.2595376192158248
ABCB1,0.4133013205282113,0.025,0.21700444197667965
ABCB10,0.6979591836734693,0.001,0.09142105263157894
ABCB6,-0.5746458583433373,0.056,0.27357750000000003
ABCB7,0.495126050420168,0.057,0.2748553362122147
ABCB8,-0.3486674669867947,0.137,0.3661687467943239
ABCB9,0.3471308523409364,0.051,0.2653188019966722
ABCC1,0.5490036014405761,0.028,0.22174468085106383
ABCC10,0.3126530612244898,0.113,0.3405685367264315
ABCC12,-0.401968787515006,0.095,0.3209714717959801
ABCC5,0.6061464585834333,0.127,0.3559962345346961
ABCC6,-0.5176950780312125,0.008,0.16586737400530505
ABCC8,0.4943577430972388,0.019,0.2012378048780488
ABCC9,-0.2298679471788715,0.479,0.6517151436031331
ABCD2,0.5117406962785114,0.184,0.41163022323983967
ABCD3,0.1616806722689075,0.48,0.6525078260869565
ABCD4,0.1089555822328931,0.523,0.6843035654502846
ABCE1,-0.2074909963985594,0.424,0.6081651527663089
ABCF1,-0.3053541416566627,0.265,0.4819386924150768
ABCF2,0.1165426170468187,0.684,0.7975663459386889
ABCF3,-0.2921968787515006,0.384,0.5785535851966076
ABCG1,0.2473469387755101,0.483,0.6555599062337211
ABCG2,0.2152701080432172,0.21,0.43632775119617223
ABCG4,0.3684513805522209,0.133,0.3617239039665971
ABCG8,-0.0823529411764706,0.566,0.7172147199481235
