GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
A1BG,0.511452581032413,0.06,0.6073930592229347
A1BG-AS1,0.447875150060024,0.035,0.6073930592229347
A2M,0.20921968787515,0.385,0.7139626334519573
A2ML1,0.04921968787515,0.737,0.8816590909090909
A3GALT2,0.0235774309723889,0.866,0.946460989932886
A4GALT,0.1523649459783913,0.504,0.7711688362533032
AAAS,-0.3222569027611044,0.167,0.6256196980589505
AACS,0.0458583433373349,0.863,0.9452307853990051
AADACL3,-0.1264345738295318,0.373,0.7082605368638407
AADAT,0.1214405762304921,0.585,0.8088895276844154
AAED1,0.3992797118847538,0.067,0.6073930592229347
AAGAB,0.0563265306122449,0.779,0.9036215033019219
AAK1,-0.4756302521008403,0.078,0.6073930592229347
AAMDC,0.2304441776710684,0.408,0.7275713472917614
AAMP,-0.1087635054021608,0.613,0.8225775965665236
AANAT,0.0412484993997599,0.765,0.8962935621674286
AAR2,0.0182953181272509,0.905,0.9606752902831535
AARD,-0.304297719087635,0.295,0.6704077627562146
AARS,-0.2578151260504202,0.29,0.668273879716981
AARS2,-0.3546218487394957,0.218,0.6409618205755125
AASDH,-0.3940936374549819,0.215,0.6392344998098136
AASDHPPT,0.4263625450180072,0.005,0.6073930592229347
AASS,0.4768787515006003,0.045,0.6073930592229347
AATF,0.0938775510204081,0.799,0.913001023317009
AATK,0.0237695078031212,0.897,0.9575799644905765
ABAT,-0.2965186074429772,0.321,0.6840502998909488
ABCA1,0.2812484993997599,0.125,0.6112934222491664
ABCA10,-0.063625450180072,0.73,0.8781908426317814
ABCA11P,-0.3878511404561824,0.084,0.6073930592229347
ABCA2,0.1164465786314525,0.499,0.7681799113737076
ABCA3,0.0075390156062424,0.974,0.9897004874878127
ABCA5,-0.217767106842737,0.557,0.7957215571598283
ABCA6,-0.3428091236494597,0.157,0.6216770516717325
ABCA7,-0.4488355342136854,0.036,0.6073930592229347
ABCA8,0.311500600240096,0.079,0.6073930592229347
ABCA9,-0.4484513805522208,0.095,0.6073930592229347
ABCB1,-0.1267226890756302,0.528,0.7846966441676967
ABCB10,-0.3050660264105642,0.341,0.6935796252927402
ABCB6,0.403985594237695,0.179,0.6302217245240762
ABCB7,-0.4230972388955581,0.068,0.6073930592229347
ABCB8,0.124609843937575,0.609,0.8209448133137881
ABCB9,-0.270204081632653,0.16,0.6240718562874252
ABCC1,-0.318703481392557,0.241,0.6469012706043956
ABCC10,-0.1193277310924369,0.587,0.8100071497925677
