GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
A1BG,-0.5472749099639855,0.021,0.2576868131868132
A1BG-AS1,-0.4238655462184874,0.042,0.27927945555082945
A2M,-0.1903001200480192,0.416,0.5993850691244239
A2ML1,0.1949099639855942,0.153,0.3907611501388662
A3GALT2,0.1651380552220888,0.184,0.4154350086655113
A4GALT,-0.1500600240096038,0.446,0.6218066529920628
AAAS,0.3171668667466986,0.16,0.39633655522104266
AACS,-0.0882112845138055,0.719,0.8209265994741455
AADACL3,0.3049699879951981,0.023,0.26149745454545453
AADAT,-0.1896278511404562,0.351,0.5447957704527403
AAED1,-0.2696278511404562,0.253,0.4704030685061846
AAGAB,0.0342376950780312,0.844,0.9058253466977894
AAK1,0.569267707082833,0.013,0.2450862262038074
AAMDC,-0.4220408163265305,0.043,0.2806759916492693
AAMP,-0.2696278511404562,0.197,0.42420123966942147
AANAT,0.1682112845138055,0.217,0.4406808261886204
AAR2,0.0608403361344537,0.671,0.7871636650157587
AARD,0.4046578631452581,0.111,0.3522661388550548
AARS,-0.0281872749099639,0.912,0.9478324690865577
AARS2,0.4653541416566626,0.052,0.290846511627907
AASDH,0.4257863145258103,0.143,0.3810976815547221
AASDHPPT,-0.31937575030012,0.054,0.2940376175548589
AASS,-0.4340456182472988,0.067,0.30697860492379836
AATF,-0.3973589435774309,0.193,0.42133347297863427
AATK,-0.056422569027611,0.743,0.8381670515225862
ABAT,0.287875150060024,0.29,0.4984683892248488
ABCA1,-0.1986554621848739,0.328,0.5274790659397182
ABCA10,0.1568787515006002,0.388,0.5759213824534751
ABCA11P,0.390828331332533,0.073,0.3141230388109001
ABCA2,-0.274813925570228,0.11,0.3516625766871166
ABCA3,-0.2864345738295318,0.193,0.42133347297863427
ABCA5,0.5217286914765906,0.037,0.2721273476866697
ABCA6,0.458343337334934,0.043,0.2806759916492693
ABCA7,0.4245378151260504,0.051,0.2906609551585855
ABCA8,-0.272797118847539,0.155,0.3925344241049733
ABCA9,0.5476590636254501,0.023,0.26149745454545453
ABCB1,0.2456182472989196,0.182,0.41336713642307127
ABCB10,0.4870588235294117,0.028,0.2673940134392181
ABCB6,-0.4242496998799519,0.102,0.3436564655172414
ABCB7,0.4918607442977191,0.015,0.24962874251497008
ABCB8,-0.2307322929171668,0.266,0.4802931392931393
ABCB9,0.18953181272509,0.307,0.5121471561199444
ABCC1,0.4555582232893157,0.044,0.28190655737704917
ABCC10,0.1886674669867947,0.289,0.49762495869589163
ABCC12,-0.4276110444177671,0.031,0.2706657922350472
ABCC5,0.4629531812725089,0.129,0.36746665451895044
ABCC6,-0.471500600240096,0.006,0.23332835820895523
ABCC8,0.3188955582232893,0.155,0.3925344241049733
ABCC9,-0.0567106842737094,0.844,0.9058253466977894
ABCD2,0.6166146458583432,0.004,0.22989705882352943
ABCD3,0.3426170468187274,0.028,0.2673940134392181
ABCD4,0.071500600240096,0.653,0.7743570507471744
ABCE1,-0.1427611044417767,0.54,0.6922929309496474
ABCF1,-0.3304201680672268,0.163,0.39833969047991247
ABCF2,0.0390396158463385,0.884,0.9301098398169335
ABCF3,-0.3527010804321728,0.18,0.41163545933294327
ABCG1,0.2234333733493397,0.461,0.6330094861660079
ABCG2,0.0609363745498199,0.755,0.8466333118140735
ABCG4,0.3797839135654262,0.076,0.3186984978540773
ABCG8,0.005906362545018,0.964,0.9807504880905895
ABHD1,-0.6093157262905161,0.002,0.22989705882352943
ABHD10,0.3219687875150059,0.093,0.3344534161490683
ABHD11,0.1544777911164465,0.445,0.6212990086630348
ABHD12,0.3350300120048019,0.175,0.4085685483870967
ABHD12B,-0.4490276110444177,0.211,0.4357414795244386
ABHD13,0.3898679471788715,0.123,0.3620521559028431
ABHD14A,0.1308523409363745,0.352,0.5454272970561997
ABHD14B,-0.1363265306122449,0.388,0.5759213824534751
ABHD16A,0.0077310924369747,0.96,0.9784001564639154
ABHD16B,0.2421608643457382,0.139,0.3770583029672046
ABHD17A,0.4228091236494598,0.104,0.34584811742182514
ABHD17B,0.1805042016806722,0.229,0.45042237040764976
ABHD17C,-0.2679951980792316,0.194,0.422101878914405
ABHD18,0.4314525810324129,0.07,0.3111487062837646
ABHD2,-0.2040336134453781,0.407,0.5912676331195985
ABHD3,0.5795438175270108,0.003,0.22989705882352943
ABHD4,-0.1699399759903961,0.49,0.6551633595620937
ABHD5,0.1568787515006002,0.225,0.44671386842773686
ABHD6,0.4635294117647058,0.008,0.23332835820895523
ABHD8,-0.0042737094837935,0.987,0.9925873914441942
ABI1,-0.497719087635054,0.014,0.2450862262038074
ABI2,-0.4604561824729891,0.052,0.290846511627907
ABI3,-0.1589915966386554,0.362,0.5544377388067012
ABL1,0.0989675870348139,0.593,0.7327775669907517
ABL2,0.3209123649459784,0.122,0.36128547073309336
ABLIM1,0.2504201680672269,0.084,0.326740980343369
ABLIM2,-0.1504441776710684,0.503,0.6659946641822647
ABLIM3,-0.3282112845138055,0.19,0.4195889249894053
ABR,-0.2235294117647058,0.314,0.5170383400042132
ABRACL,0.3338775510204081,0.231,0.4514593074134267
ABRAXAS2,0.0069627851140456,0.969,0.9837247223845703
ABT1,0.0876350540216086,0.634,0.7612967201782012
ABTB1,0.1036734693877551,0.632,0.7598874019381634
ABTB2,0.3661464585834333,0.057,0.2959418797741614
ACAA1,-0.2218967587034813,0.374,0.5650663960568281
ACAA2,-0.2764465786314525,0.246,0.4641783946891973
ACACA,-0.2647298919567827,0.235,0.4551232656095144
ACACB,-0.003313325330132,0.98,0.9897499838490859
ACAD10,0.2497478991596638,0.15,0.38888059701492533
ACAD11,0.5394957983193277,0.007,0.23332835820895523
ACAD8,0.2948859543817527,0.131,0.3699282875722543
ACAD9,-0.3872749099639855,0.112,0.35243478260869565
ACADL,-0.3392557022809123,0.219,0.4417583225806452
ACADM,0.3327250900360144,0.222,0.4442557603686636
ACADSB,0.3992797118847538,0.076,0.3186984978540773
ACADVL,-0.3433853541416566,0.168,0.40299892588614394
ACAN,0.4469147659063625,0.105,0.34688609467455617
ACAP2,0.254453781512605,0.279,0.49084031060094535
ACAP3,0.1913565426170468,0.547,0.697776499388005
ACAT1,-0.1878991596638655,0.452,0.626040223265704
ACAT2,-0.4577671068427371,0.072,0.31326913442805454
ACBD3,0.1150060024009603,0.443,0.6198352277812584
ACBD4,0.2535894357743097,0.079,0.32254034996082526
ACBD5,0.1865546218487395,0.233,0.4531586215476487
ACBD6,-0.5070348139255703,0.012,0.24363116883116884
ACBD7,-0.1319087635054021,0.368,0.5596793462399066
ACCS,-0.1376710684273709,0.376,0.5665549879518073
ACD,0.1143337334933973,0.493,0.6575436396211927
ACE,0.0314525810324129,0.873,0.9236960406091371
ACER2,0.1627370948379351,0.276,0.48775808274926524
ACER3,0.237454981992797,0.2,0.4267813267813268
ACHE,0.1156782713085234,0.587,0.728010392701309
ACIN1,0.3879471788715486,0.027,0.2659678638941399
ACKR1,-0.0646818727490996,0.819,0.8886948705490386
ACKR2,-0.0957022809123649,0.481,0.6492378691072354
ACKR3,-0.5931812725090035,0.003,0.22989705882352943
ACKR4,0.337719087635054,0.019,0.25754530477759474
ACLY,0.3469387755102041,0.03,0.2704671280276817
ACO1,-0.0172388955582232,0.911,0.9472969934814421
ACO2,-0.1928931572629051,0.49,0.6551633595620937
ACOT11,0.2112364945978391,0.255,0.4727161152614728
ACOT13,-0.3381992797118847,0.32,0.5216433785192909
ACOT2,-0.4208883553421368,0.044,0.28190655737704917
ACOT4,-0.3204321728691476,0.051,0.2906609551585855
ACOT7,-0.3105402160864345,0.232,0.45262149007862224
ACOT8,-0.4916686674669868,0.068,0.30875515538774323
ACOT9,0.0640096038415366,0.668,0.7848811724915447
ACOX1,-0.1719567827130852,0.302,0.5085819239469999
ACOX2,-0.3911164465786314,0.058,0.29650555918901245
ACOX3,-0.524609843937575,0.025,0.26496610169491525
ACP1,-0.3785354141656663,0.111,0.3522661388550548
ACP2,0.2840336134453781,0.097,0.33848236607142856
ACP5,-0.4156062424969988,0.004,0.22989705882352943
ACP6,0.1595678271308523,0.264,0.4789499825925496
ACPP,0.0203121248499399,0.88,0.9279622259696458
ACR,-0.0836014405762304,0.651,0.7732758149076818
ACRBP,0.1284513805522208,0.41,0.593804891606448
ACSBG1,-0.2685714285714285,0.114,0.3545180027849612
ACSF2,-0.1173109243697479,0.501,0.6643030534351145
ACSF3,-0.0301080432172869,0.908,0.9448688011715369
ACSL1,-0.0041776710684273,0.98,0.9897499838490859
ACSL3,0.2630972388955582,0.268,0.48184519838987927
ACSL4,-0.4283793517406962,0.11,0.3516625766871166
ACSL6,0.5136614645858344,0.044,0.28190655737704917
ACSM1,0.1602400960384153,0.535,0.689331162944037
ACSM2A,0.1067466986794717,0.431,0.6107526287164612
ACSM5,-0.5539975990396159,0.006,0.23332835820895523
ACSS1,-0.0611284513805522,0.627,0.75631875
ACSS2,0.0661224489795918,0.676,0.7903012264433145
ACSS3,-0.3856422569027611,0.062,0.30016909259832764
ACTA1,-0.3787274909963985,0.269,0.4825332185886403
ACTA2,-0.1502521008403361,0.328,0.5274790659397182
ACTB,-0.5782953181272509,0.004,0.22989705882352943
ACTBL2,0.1302761104441776,0.358,0.5503061946902654
ACTC1,-0.5428571428571428,0.052,0.290846511627907
ACTG1,-0.5327731092436975,0.01,0.23794520547945205
ACTG1P4,-0.0471068427370948,0.776,0.861041095890411
ACTG2,-0.2161344537815125,0.177,0.4098712783291364
ACTL10,-0.3230252100840336,0.052,0.290846511627907
ACTL6A,-0.4299159663865546,0.047,0.28534019417475726
ACTL6B,0.2999759903961584,0.179,0.4112738095238095
ACTL8,0.0612244897959183,0.711,0.8147678492889606
ACTN1,-0.3820888355342137,0.053,0.2918453680873547
ACTN2,-0.593469387755102,0.004,0.22989705882352943
ACTN4,0.0237695078031212,0.923,0.9546949186184995
ACTR10,-0.4457623049219688,0.101,0.3425017353579176
ACTR1A,-0.492436974789916,0.089,0.33261702127659576
ACTR1B,0.2410084033613445,0.439,0.6168332734136258
ACTR2,0.2890276110444177,0.121,0.3604407393292683
ACTR3,-0.0919567827130852,0.6,0.7379858379228953
ACTR3B,-0.4064825930372149,0.089,0.33261702127659576
ACTR3BP2,-0.0222328931572629,0.928,0.9577754010695186
ACTR3C,-0.0084033613445378,0.969,0.9837247223845703
ACTR5,0.1787755102040816,0.535,0.689331162944037
ACTR6,-0.0539255702280912,0.805,0.8801010560179034
ACTR8,-0.053157262905162,0.79,0.869845752922947
ACTRT3,-0.1028091236494597,0.525,0.6818414056658636
ACVR1,0.4452821128451379,0.009,0.23646554621848737
ACVR1B,0.4715966386554622,0.083,0.32593293142426527
ACVR1C,0.4506602641056422,0.089,0.33261702127659576
ACVR2A,-0.2497478991596638,0.37,0.561519269973789
