GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
label,0.101026102610261,0.532,1.0
A1BG,-0.01000900090009,0.977,1.0
A1BG-AS1,0.0984218421842184,0.535,1.0
A2M,0.1725652565256525,0.204,1.0
A2ML1,0.011077107710771,0.928,1.0
A3GALT2,-0.0562736273627362,0.614,1.0
A4GALT,0.0563336333633363,0.658,1.0
AAAS,0.0505010501050104,0.792,1.0
AACS,-0.0961536153615361,0.473,1.0
AADACL3,-0.1218361836183618,0.301,1.0
AADAT,-0.0368076807680768,0.755,1.0
AAED1,-0.1248724872487248,0.431,1.0
AAGAB,-0.1322652265226522,0.297,1.0
AAK1,-0.0333153315331533,0.832,1.0
AAMDC,-0.0965136513651365,0.527,1.0
AAMP,-0.0428442844284428,0.689,1.0
AANAT,0.0379717971797179,0.708,1.0
AAR2,-0.0441524152415241,0.695,1.0
AARD,0.1251125112511251,0.498,1.0
AARS,0.0471407140714071,0.791,1.0
AARS2,-0.0026882688268826,0.989,1.0
AASDH,0.0616741674167416,0.783,1.0
AASDHPPT,0.1499669966996699,0.199,1.0
AASS,-0.0124932493249324,0.939,1.0
AATF,-0.0503810381038103,0.796,1.0
AATK,0.1563156315631563,0.199,1.0
ABAT,-0.0389678967896789,0.835,1.0
ABCA1,-0.1464026402640263,0.347,1.0
ABCA10,0.2693549354935493,0.017,1.0
ABCA11P,-0.0657065706570656,0.638,1.0
ABCA2,-0.0159855985598559,0.89,1.0
ABCA3,-0.0277227722772277,0.81,1.0
ABCA5,0.0965736573657365,0.604,1.0
ABCA6,0.0536933693369336,0.772,1.0
ABCA7,-0.1308730873087308,0.457,1.0
ABCA8,0.1361656165616561,0.235,1.0
ABCA9,-0.0445244524452445,0.814,1.0
ABCB1,0.0859885988598859,0.556,1.0
ABCB10,0.1752175217521752,0.312,1.0
ABCB6,-0.0446924692469246,0.794,1.0
ABCB7,-0.1105790579057905,0.503,1.0
ABCB8,-0.2162976297629762,0.081,1.0
ABCB9,0.0498529852985298,0.719,1.0
ABCC1,-0.0514851485148514,0.744,1.0
ABCC10,-0.0482088208820882,0.716,1.0
ABCC12,0.1984278427842783,0.2,1.0
ABCC5,0.0459645964596459,0.821,1.0
ABCC6,-0.0179297929792979,0.902,1.0
ABCC8,0.1134113411341134,0.516,1.0
ABCC9,-0.1769456945694569,0.313,1.0
ABCD2,-0.0396639663966396,0.832,1.0
ABCD3,-0.2996339633963396,0.012,1.0
ABCD4,-0.0697269726972697,0.547,1.0
ABCE1,-0.1572397239723972,0.218,1.0
ABCF1,0.0623942394239423,0.674,1.0
ABCF2,0.0006360636063606,0.996,1.0
ABCF3,0.0302190219021902,0.83,1.0
ABCG1,-0.0314551455145514,0.883,1.0
ABCG2,0.1365256525652565,0.352,1.0
ABCG4,0.0466846684668466,0.786,1.0
ABCG8,-0.0407800780078007,0.697,1.0
ABHD1,-0.0042724272427242,0.975,1.0
ABHD10,-0.1322292229222922,0.39,1.0
ABHD11,0.0115691569156915,0.951,1.0
ABHD12,-0.0474047404740474,0.822,1.0
ABHD12B,0.0848484848484848,0.714,1.0
ABHD13,0.1247644764476447,0.468,1.0
ABHD14A,0.1407380738073807,0.293,1.0
ABHD14B,0.1623162316231623,0.115,1.0
ABHD16A,0.0608100810081008,0.61,1.0
ABHD16B,-0.173069306930693,0.113,1.0
ABHD17A,-0.071071107110711,0.712,1.0
ABHD17B,0.0871647164716471,0.469,1.0
ABHD17C,-0.0378877887788778,0.801,1.0
ABHD18,0.0455085508550855,0.756,1.0
ABHD2,-0.2042964296429643,0.212,1.0
ABHD3,-0.2862406240624062,0.052,1.0
ABHD4,-0.3182958295829582,0.024,1.0
ABHD5,-0.1597479747974797,0.224,1.0
ABHD6,-0.0771077107710771,0.642,1.0
ABHD8,0.0628862886288628,0.697,1.0
ABI1,-0.0866006600660065,0.588,1.0
ABI2,-0.0039723972397239,0.982,1.0
ABI3,-0.0615781578157815,0.612,1.0
ABL1,-0.0592499249924992,0.652,1.0
ABL2,-0.032007200720072,0.849,1.0
ABLIM1,-0.1229882988298829,0.379,1.0
ABLIM2,0.3289648964896489,0.052,1.0
ABLIM3,-0.1499189918991899,0.455,1.0
ABR,0.0403240324032403,0.82,1.0
ABRACL,0.0969336933693369,0.581,1.0
ABRAXAS2,0.0336273627362736,0.746,1.0
ABT1,-0.0393519351935193,0.791,1.0
ABTB1,0.0795199519951995,0.687,1.0
ABTB2,-0.0739153915391539,0.647,1.0
ACAA1,-0.091041104110411,0.535,1.0
ACAA2,-0.1694449444944494,0.335,1.0
ACACA,-0.0114611461146114,0.943,1.0
ACACB,-0.0138613861386138,0.913,1.0
ACAD10,-0.1692049204920491,0.258,1.0
ACAD11,-0.1352655265526552,0.318,1.0
ACAD8,-0.0759675967596759,0.488,1.0
ACAD9,0.0237503750375037,0.88,1.0
ACADL,-0.0766156615661566,0.722,1.0
ACADM,-0.116039603960396,0.54,1.0
ACADSB,0.0457965796579657,0.797,1.0
ACADVL,-0.1416381638163816,0.371,1.0
ACAN,-0.0682508250825082,0.767,1.0
ACAP2,0.0359915991599159,0.811,1.0
ACAP3,-0.159015901590159,0.336,1.0
ACAT1,-0.0678547854785478,0.632,1.0
ACAT2,0.0770957095709571,0.711,1.0
ACBD3,0.1012781278127812,0.292,1.0
ACBD4,0.0617221722172217,0.59,1.0
ACBD5,-0.2097329732973297,0.085,1.0
ACBD6,0.2227662766276627,0.148,1.0
ACBD7,-0.1728172817281728,0.261,1.0
ACCS,-0.0515931593159315,0.694,1.0
ACD,0.0911851185118511,0.531,1.0
ACE,0.0858685868586858,0.559,1.0
ACER2,0.01009300930093,0.911,1.0
ACER3,-0.0545574557455745,0.712,1.0
ACHE,-0.0934293429342934,0.638,1.0
ACIN1,-0.1514911491149115,0.251,1.0
ACKR1,0.1108190819081908,0.517,1.0
ACKR2,-0.0071647164716471,0.943,1.0
ACKR3,0.0872127212721272,0.603,1.0
ACKR4,0.0209900990099009,0.878,1.0
ACLY,-0.1633003300330032,0.14,1.0
ACO1,-0.0939453945394539,0.448,1.0
ACO2,-0.1445424542454245,0.482,1.0
ACOT11,-0.3269246924692469,0.005,1.0
ACOT13,-0.0538973897389738,0.793,1.0
ACOT2,0.0104770477047704,0.959,1.0
ACOT4,0.163108310831083,0.159,1.0
ACOT7,0.0532373237323732,0.717,1.0
ACOT8,-0.0489648964896489,0.83,1.0
ACOT9,0.0432763276327632,0.692,1.0
ACOX1,-0.1814701470147014,0.142,1.0
ACOX2,-0.0387158715871587,0.82,1.0
ACOX3,0.0809000900090008,0.675,1.0
ACP1,-0.051101110111011,0.792,1.0
