GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
label,0.4436483648364836,0.005,0.02768059490084986
A1BG,0.6195979597959795,0.006,0.03143565683646113
A1BG-AS1,0.4536573657365735,0.007,0.0349418901660281
A2M,-0.1285928592859286,0.562,0.704652177399952
A2ML1,0.1359615961596159,0.129,0.2592269922879178
A3GALT2,0.0868286828682868,0.378,0.5428671688407128
A4GALT,-0.1012421242124212,0.52,0.6699917586945772
AAAS,-0.5360816081608161,0.0,0.0
AACS,0.0692469246924692,0.729,0.8296102780608532
AADACL3,0.2134653465346534,0.061,0.15451620220349968
AADAT,0.0757755775577557,0.642,0.7653673936251335
AAED1,0.5251845184518451,0.001,0.00843257820927724
AAGAB,0.2137293729372937,0.15,0.2874954027215888
AAK1,-0.4596339633963395,0.031,0.09800889787664306
AAMDC,0.2143294329432943,0.27,0.430600836478629
AAMP,-0.0189258925892589,0.876,0.9283118009896292
AANAT,0.0551815181518151,0.557,0.7009690090960317
AAR2,-0.0305550555055505,0.792,0.872902925625661
AARD,-0.4508010801080107,0.028,0.09146510656080234
AARS,-0.42007800780078,0.09,0.2020186647523331
AARS2,-0.3355295529552954,0.302,0.4653067901842909
AASDH,-0.5629402940294028,0.038,0.11211398377052274
AASDHPPT,-0.0376597659765976,0.784,0.8678176154064005
AASS,0.4512811281128112,0.008,0.03828344046525865
AATF,-0.0874047404740474,0.782,0.8665854834136661
AATK,-0.2822202220222021,0.075,0.1783346007604563
ABAT,-0.3637923792379238,0.237,0.39426026814215787
ABCA1,0.3672367236723672,0.029,0.09371351798263745
ABCA10,-0.2703390339033903,0.025,0.08447157985735898
ABCA11P,-0.1331173117311731,0.483,0.6373952899468219
ABCA2,-0.0041164116411641,0.977,0.9856370910498805
ABCA3,0.0788958895889589,0.597,0.7317520972167777
ABCA5,-0.408124812481248,0.066,0.16329229308434878
ABCA6,-0.6348274827482748,0.0,0.0
ABCA7,-0.4846084608460845,0.008,0.03828344046525865
ABCA8,0.1341014101410141,0.356,0.521279760232275
ABCA9,-0.5504230423042303,0.003,0.019301234567901237
ABCB1,-0.3993639363936393,0.016,0.06179446640316206
ABCB10,-0.519147914791479,0.001,0.00843257820927724
ABCB6,0.4928292829282927,0.01,0.04413890457368718
ABCB7,-0.3460066006600659,0.11,0.23277476989713047
ABCB8,0.206096609660966,0.268,0.42841635991820043
ABCB9,-0.4591779177917791,0.0,0.0
ABCC1,-0.444080408040804,0.009,0.04129909010859994
ABCC10,-0.2571617161716171,0.028,0.09146510656080234
ABCC12,0.1151515151515151,0.577,0.7155404140556834
ABCC5,-0.5157155715571557,0.032,0.10013771016813451
ABCC6,0.391131113111311,0.002,0.014258093935248517
ABCC8,-0.566948694869487,0.0,0.0
ABCC9,0.2678907890789078,0.32,0.48365042536736275
ABCD2,-0.5525592559255925,0.0,0.0
ABCD3,0.0626702670267026,0.609,0.7414036754399627
ABCD4,-0.3005100510051005,0.011,0.047414943479459605
