GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
label,0.0256225622562256,0.863,0.9609839064161645
A1BG,-0.1007380738073807,0.688,0.9016842987677088
A1BG-AS1,-0.0119771977197719,0.94,0.9832704402515723
A2M,-0.0495529552955295,0.754,0.9268588456712673
A2ML1,0.1502670267026702,0.148,0.5895113375796178
A3GALT2,0.1594359435943594,0.129,0.5624054656999442
A4GALT,-0.0519651965196519,0.722,0.9141357304826692
AAAS,0.1017101710171016,0.593,0.8638615355944838
AACS,-0.1625802580258026,0.264,0.6955470171890799
AADACL3,0.2262826282628262,0.057,0.4555920245398773
AADAT,-0.0692349234923492,0.608,0.8695851189933437
AAED1,0.0101650165016501,0.954,0.9871491164206765
AAGAB,0.0625022502250225,0.621,0.8748165435213552
AAK1,0.1722772277227722,0.415,0.7817941920713339
AAMDC,-0.3061626162616261,0.041,0.42115243101182653
AAMP,-0.2998499849984998,0.008,0.2823295711060948
AANAT,0.0845964596459645,0.42,0.7849707112970711
AAR2,0.0892649264926492,0.432,0.7907608008429926
AARD,0.2734593459345934,0.178,0.6245179533213644
AARS,-0.2493369336933693,0.196,0.6438882118092036
AARS2,0.2313711371137113,0.327,0.7383474870017331
AASDH,0.1647044704470446,0.575,0.8563107258525433
AASDHPPT,0.0939813981398139,0.443,0.7969921749136939
AASS,-0.0612781278127812,0.756,0.9268588456712673
AATF,-0.3303930393039303,0.09,0.5161628760088041
AATK,0.0324392439243924,0.83,0.9510568748167693
ABAT,-0.0566816681668166,0.816,0.9473040766317665
ABCA1,-0.0504530453045304,0.787,0.9375872894917322
ABCA10,0.1719411941194119,0.167,0.6136023501762633
ABCA11P,0.0792799279927992,0.575,0.8563107258525433
ABCA2,-0.1374737473747374,0.172,0.6180298781889221
ABCA3,-0.2632463246324632,0.011,0.3043787610619469
ABCA5,0.469102910291029,0.0,0.0
ABCA6,0.2097929792979297,0.321,0.7360683484892931
ABCA7,0.0721392139213921,0.703,0.9068984239623731
ABCA8,0.0783558355835583,0.505,0.8265462730318258
ABCA9,0.2381398139813981,0.26,0.6929491987725878
ABCB1,0.1097149714971497,0.482,0.8170549664574767
